N;Название;Размер;Картинка;Длит-ть;http;torrent
32;Агония (2/2);820.660.224;696x320;01:09:17;https://film.arjlover.net/film/agonija.2.avi;https://film.arjlover.net/torrents/agonija.2.avi.torrent
33;Адам женится на Еве (1/2);1131.800.576;720x528;01:05:16;https://film.arjlover.net/film/adam.zhenitsja.na.eve.1.avi;https://film.arjlover.net/torrents/adam.zhenitsja.na.eve.1.avi.torrent
34;Адам женится на Еве (2/2);1208.182.784;720x528;01:06:02;https://film.arjlover.net/film/adam.zhenitsja.na.eve.2.avi;https://film.arjlover.net/torrents/adam.zhenitsja.na.eve.2.avi.torrent
35;Адам и Хева;733.663.232;688x336;01:07:08;https://film.arjlover.net/film/adam.i.heva.avi;https://film.arjlover.net/torrents/adam.i.heva.avi.torrent
36;Адела ещё не ужинала;1474.351.294;720x512;01:45:58;https://film.arjlover.net/film/adela.esche.ne.uzhinala.avi;https://film.arjlover.net/torrents/adela.esche.ne.uzhinala.avi.torrent
37;Ад, или Досье на самого себя;2023.487.488;704x528;02:15:33;https://film.arjlover.net/film/ad.ili.dose.na.samogo.sebja.avi;https://film.arjlover.net/torrents/ad.ili.dose.na.samogo.sebja.avi.torrent
38;Адмирал Нахимов;1466.687.488;720x544;01:28:35;https://film.arjlover.net/film/admiral.nahimov.avi;https://film.arjlover.net/torrents/admiral.nahimov.avi.torrent
39;Адмирал Ушаков;1430.730.752;720x552;01:41:12;https://film.arjlover.net/film/admiral.ushakov.avi;https://film.arjlover.net/torrents/admiral.ushakov.avi.torrent
40;Адрес вашего дома;1174.185.114;640x480;01:21:18;https://film.arjlover.net/film/adres.vashego.doma.avi;https://film.arjlover.net/torrents/adres.vashego.doma.avi.torrent
41;Адрес: театр;1151.166.464;704x528;01:24:32;https://film.arjlover.net/film/adres.teatr.avi;https://film.arjlover.net/torrents/adres.teatr.avi.torrent
42;Адъютант его превосходительства (1/5);891.717.632;704x528;01:11:15;https://film.arjlover.net/film/adjutant.ego.prevoshoditelstva.1.avi;https://film.arjlover.net/torrents/adjutant.ego.prevoshoditelstva.1.avi.torrent
43;Адъютант его превосходительства (2/5);893.288.448;704x528;01:20:57;https://film.arjlover.net/film/adjutant.ego.prevoshoditelstva.2.avi;https://film.arjlover.net/torrents/adjutant.ego.prevoshoditelstva.2.avi.torrent
44;Адъютант его превосходительства (3/5);894.844.928;704x528;01:15:14;https://film.arjlover.net/film/adjutant.ego.prevoshoditelstva.3.avi;https://film.arjlover.net/torrents/adjutant.ego.prevoshoditelstva.3.avi.torrent
45;Адъютант его превосходительства (4/5);892.862.464;704x528;01:10:14;https://film.arjlover.net/film/adjutant.ego.prevoshoditelstva.4.avi;https://film.arjlover.net/torrents/adjutant.ego.prevoshoditelstva.4.avi.torrent
46;Адъютант его превосходительства (5/5);893.399.040;704x528;01:13:36;https://film.arjlover.net/film/adjutant.ego.prevoshoditelstva.5.avi;https://film.arjlover.net/torrents/adjutant.ego.prevoshoditelstva.5.avi.torrent
47;Аз воздам (1/2);968.448.020;688x512;01:14:22;https://film.arjlover.net/film/az.vozdam.1.avi;https://film.arjlover.net/torrents/az.vozdam.1.avi.torrent
48;Аз воздам (2/2);1004.162.610;688x512;01:17:05;https://film.arjlover.net/film/az.vozdam.2.avi;https://film.arjlover.net/torrents/az.vozdam.2.avi.torrent
49;Аз и Ферт 1981г.;1038.155.776;640x480;01:09:37;https://film.arjlover.net/film/az.i.fert.1981.avi;https://film.arjlover.net/torrents/az.i.fert.1981.avi.torrent
50;А зори здесь тихие... (1/2);1647.458.304;720x360;01:33:56;https://film.arjlover.net/film/a.zori.zdes.tihie.1.avi;https://film.arjlover.net/torrents/a.zori.zdes.tihie.1.avi.torrent
51;А зори здесь тихие... (2/2);1503.442.944;720x360;01:25:44;https://film.arjlover.net/film/a.zori.zdes.tihie.2.avi;https://film.arjlover.net/torrents/a.zori.zdes.tihie.2.avi.torrent
52;Айтматов и театр 1989г.;593.684.480;688x512;00:55:29;https://film.arjlover.net/film/ajtmatov.i.teatr1989.avi;https://film.arjlover.net/torrents/ajtmatov.i.teatr1989.avi.torrent
53;Айя (1/2);961.966.080;720x544;01:06:27;https://film.arjlover.net/film/ajja.1.avi;https://film.arjlover.net/torrents/ajja.1.avi.torrent
54;Айя (2/2);1262.704.640;720x544;01:33:32;https://film.arjlover.net/film/ajja.2.avi;https://film.arjlover.net/torrents/ajja.2.avi.torrent
55;Академик из Аскании;1380.632.576;640x480;01:32:38;https://film.arjlover.net/film/akademik.iz.askanii.avi;https://film.arjlover.net/torrents/akademik.iz.askanii.avi.torrent
56;Акванавты;1466.327.040;720x376;01:15:58;https://film.arjlover.net/film/akvanavty.avi;https://film.arjlover.net/torrents/akvanavty.avi.torrent
57;Акварель;154.714.112;704x512;00:09:51;https://film.arjlover.net/film/akvarel.avi;https://film.arjlover.net/torrents/akvarel.avi.torrent
58;А.Кольцов. Возвыситься до вашей дружбы...;482.906.112;720x576;00:50:18;https://film.arjlover.net/film/a.kolcov.vozvysitsja.do.vashej.druzhby.avi;https://film.arjlover.net/torrents/a.kolcov.vozvysitsja.do.vashej.druzhby.avi.torrent
59;Акселератка;1167.163.392;704x304;01:22:31;https://film.arjlover.net/film/akselratka.avi;https://film.arjlover.net/torrents/akselratka.avi.torrent
60;Актёр Николай Черкасов;663.211.094;640x480;00:50:08;https://film.arjlover.net/film/akter.nikolaj.cherkasov.avi;https://film.arjlover.net/torrents/akter.nikolaj.cherkasov.avi.torrent
61;Активная зона (1/2);993.562.624;640x480;01:06:40;https://film.arjlover.net/film/aktivnaja.zona.1.avi;https://film.arjlover.net/torrents/aktivnaja.zona.1.avi.torrent
62;Активная зона (2/2);1032.861.696;640x480;01:09:16;https://film.arjlover.net/film/aktivnaja.zona.2.avi;https://film.arjlover.net/torrents/aktivnaja.zona.2.avi.torrent
63;Актриса 1943г.;1416.089.600;704x528;01:11:36;https://film.arjlover.net/film/aktrisa.avi;https://film.arjlover.net/torrents/aktrisa.avi.torrent
64;Актриса 1969г.;591.349.760;688x512;00:40:40;https://film.arjlover.net/film/aktrisa.1969.avi;https://film.arjlover.net/torrents/aktrisa.1969.avi.torrent
65;Акция 1987г.;1472.567.296;720x320;01:26:25;https://film.arjlover.net/film/akcija.1987.avi;https://film.arjlover.net/torrents/akcija.1987.avi.torrent
66;Алаверди;336.835.416;720x536;00:35:25;https://film.arjlover.net/film/alaverdi.avi;https://film.arjlover.net/torrents/alaverdi.avi.torrent
67;Алеко 1953г.;1157.021.696;704x544;00:56:52;https://film.arjlover.net/film/aleko.1953.avi;https://film.arjlover.net/torrents/aleko.1953.avi.torrent
68;Александр Невский;1468.519.896;720x544;01:48:19;https://film.arjlover.net/film/aleksandr.nevskij.avi;https://film.arjlover.net/torrents/aleksandr.nevskij.avi.torrent
69;Александр Пархоменко;893.495.296;720x576;01:46:03;https://film.arjlover.net/film/aleksandr.parhomenko.avi;https://film.arjlover.net/torrents/aleksandr.parhomenko.avi.torrent
70;Александр Покрышкин;237.320.192;640x480;00:30:35;https://film.arjlover.net/film/aleksandr.pokryshkin.avi;https://film.arjlover.net/torrents/aleksandr.pokryshkin.avi.torrent
71;Александр Попов;818.704.384;512x384;01:32:37;https://film.arjlover.net/film/aleksandr.popov.avi;https://film.arjlover.net/torrents/aleksandr.popov.avi.torrent
72;Александр Пушкин;422.289.408;640x480;00:28:22;https://film.arjlover.net/film/aleksandr.pushkin.avi;https://film.arjlover.net/torrents/aleksandr.pushkin.avi.torrent
73;Александр Твардовский. Страницы жизни и творчества;394.253.806;704x528;00:27:11;https://film.arjlover.net/film/aleksandr.tvardovskij.stranicy.zhizni.i.tvorchestva.avi;https://film.arjlover.net/torrents/aleksandr.tvardovskij.stranicy.zhizni.i.tvorchestva.avi.torrent
74;Алексеич;334.845.952;704x528;00:19:35;https://film.arjlover.net/film/alekseich.avi;https://film.arjlover.net/torrents/alekseich.avi.torrent
75;Алёша;918.321.152;720x544;01:07:58;https://film.arjlover.net/film/alesha.avi;https://film.arjlover.net/torrents/alesha.avi.torrent
76;Алёшкина любовь;1177.081.856;720x304;01:22:57;https://film.arjlover.net/film/aleshkina.ljubov.avi;https://film.arjlover.net/torrents/aleshkina.ljubov.avi.torrent
77;Алитет уходит в горы;1329.152.152;720x552;01:34:59;https://film.arjlover.net/film/alitet.uhodit.v.gory.avi;https://film.arjlover.net/torrents/alitet.uhodit.v.gory.avi.torrent
78;Алишер Навои;1332.903.936;672x512;01:34:53;https://film.arjlover.net/film/alisher.navoi.avi;https://film.arjlover.net/torrents/alisher.navoi.avi.torrent
79;Алкины песни;365.671.476;720x320;00:21:18;https://film.arjlover.net/film/alkiny.pesni.avi;https://film.arjlover.net/torrents/alkiny.pesni.avi.torrent
80;Алло, Варшава!;1640.318.976;704x560;01:18:17;https://film.arjlover.net/film/allo.varshava.avi;https://film.arjlover.net/torrents/allo.varshava.avi.torrent
81;Алмазная тропа (1/5);659.046.400;576x432;00:56:35;https://film.arjlover.net/film/almaznaja.tropa.1.avi;https://film.arjlover.net/torrents/almaznaja.tropa.1.avi.torrent
82;Алмазная тропа (2/5);665.141.248;576x432;00:57:06;https://film.arjlover.net/film/almaznaja.tropa.2.avi;https://film.arjlover.net/torrents/almaznaja.tropa.2.avi.torrent
83;Алмазная тропа (3/5);629.043.200;576x432;00:54:01;https://film.arjlover.net/film/almaznaja.tropa.3.avi;https://film.arjlover.net/torrents/almaznaja.tropa.3.avi.torrent
84;Алмазная тропа (4/5);617.482.240;576x432;00:53:01;https://film.arjlover.net/film/almaznaja.tropa.4.avi;https://film.arjlover.net/torrents/almaznaja.tropa.4.avi.torrent
85;Алмазная тропа (5/5);632.459.264;576x432;00:55:49;https://film.arjlover.net/film/almaznaja.tropa.5.avi;https://film.arjlover.net/torrents/almaznaja.tropa.5.avi.torrent
86;Алмазы;734.013.440;512x384;01:19:32;https://film.arjlover.net/film/almazy.avi;https://film.arjlover.net/torrents/almazy.avi.torrent
87;Алтунин принимает решение (1/3). Кузнецы;773.918.968;720x544;01:04:23;https://film.arjlover.net/film/altunin.prinimaet.reshenie.1.kuznecy.avi;https://film.arjlover.net/torrents/altunin.prinimaet.reshenie.1.kuznecy.avi.torrent
88;Алтунин принимает решение (2/3). Изотопы для Алтунина;801.547.306;720x544;01:06:41;https://film.arjlover.net/film/altunin.prinimaet.reshenie.2.izotopy.dlja.altunina.avi;https://film.arjlover.net/torrents/altunin.prinimaet.reshenie.2.izotopy.dlja.altunina.avi.torrent
89;Алтунин принимает решение (3/3). Прерванный отпуск;964.862.146;720x544;01:20:34;https://film.arjlover.net/film/altunin.prinimaet.reshenie.3.prervannyj.otpusk.avi;https://film.arjlover.net/torrents/altunin.prinimaet.reshenie.3.prervannyj.otpusk.avi.torrent
90;Алые маки Иссык-Куля;1371.688.960;688x512;01:33:32;https://film.arjlover.net/film/alye.maki.issyk.kulja.avi;https://film.arjlover.net/torrents/alye.maki.issyk.kulja.avi.torrent
91;Альба Регия;1321.945.088;640x480;01:28:43;https://film.arjlover.net/film/alba.regija.avi;https://film.arjlover.net/torrents/alba.regija.avi.torrent
92;Альманах поэзии. Есенину посвящается;914.649.088;704x528;00:59:37;https://film.arjlover.net/film/almanah.poezii.eseninu.posvjaschaetsja.avi;https://film.arjlover.net/torrents/almanah.poezii.eseninu.posvjaschaetsja.avi.torrent
93;Альпийская баллада;1415.868.776;704x288;01:25:55;https://film.arjlover.net/film/alpijskaja.ballada.avi;https://film.arjlover.net/torrents/alpijskaja.ballada.avi.torrent
94;Альфа и омега;545.414.932;704x528;00:37:33;https://film.arjlover.net/film/alfa.i.omega.avi;https://film.arjlover.net/torrents/alfa.i.omega.avi.torrent
95;Альфред Шнитке. Портрет с друзьями;366.958.592;720x576;00:48:07;https://film.arjlover.net/film/alfred.shnitke.portret.s.druzjami.avi;https://film.arjlover.net/torrents/alfred.shnitke.portret.s.druzjami.avi.torrent
96;Амата Нобис;420.800.882;704x400;00:29:59;https://film.arjlover.net/film/amata.nobis.avi;https://film.arjlover.net/torrents/amata.nobis.avi.torrent
97;Американская трагедия (1/4);996.626.432;704x528;01:05:05;https://film.arjlover.net/film/amerikanskaja.tragedija.1.avi;https://film.arjlover.net/torrents/amerikanskaja.tragedija.1.avi.torrent
98;Американская трагедия (2/4);1035.304.960;704x528;01:07:36;https://film.arjlover.net/film/amerikanskaja.tragedija.2.avi;https://film.arjlover.net/torrents/amerikanskaja.tragedija.2.avi.torrent
99;Американская трагедия (3/4);1125.761.024;704x528;01:13:32;https://film.arjlover.net/film/amerikanskaja.tragedija.3.avi;https://film.arjlover.net/torrents/amerikanskaja.tragedija.3.avi.torrent
100;Американская трагедия (4/4);1138.819.072;704x528;01:14:20;https://film.arjlover.net/film/amerikanskaja.tragedija.4.avi;https://film.arjlover.net/torrents/amerikanskaja.tragedija.4.avi.torrent
101;Американский дедушка;1153.361.920;720x544;01:12:10;https://film.arjlover.net/film/amerikanskij.dedushka.avi;https://film.arjlover.net/torrents/amerikanskij.dedushka.avi.torrent
102;А музы не молчали;493.189.916;704x572;00:25:16;https://film.arjlover.net/film/a.muzy.ne.molchali.avi;https://film.arjlover.net/torrents/a.muzy.ne.molchali.avi.torrent
103;Анатолий Эфрос;402.405.376;576x432;00:38:56;https://film.arjlover.net/film/anatolij.efros.avi;https://film.arjlover.net/torrents/anatolij.efros.avi.torrent
104;Анафема;525.050.540;720x544;00:44:15;https://film.arjlover.net/film/anafema.avi;https://film.arjlover.net/torrents/anafema.avi.torrent
105;Английский вальс;1153.963.810;720x544;01:05:26;https://film.arjlover.net/film/anglijskij.vals.avi;https://film.arjlover.net/torrents/anglijskij.vals.avi.torrent
106;Анджело 1999г.;524.419.268;704x528;00:38:53;https://film.arjlover.net/film/andzhelo.1999.avi;https://film.arjlover.net/torrents/andzhelo.1999.avi.torrent
107;Андрей;1083.013.622;704x528;01:14:31;https://film.arjlover.net/film/andrej.avi;https://film.arjlover.net/torrents/andrej.avi.torrent
108;Андрей Рублёв 1966г. (1/2);1384.775.680;720x304;01:36:41;https://film.arjlover.net/film/andrej.rublev.1966.1.avi;https://film.arjlover.net/torrents/andrej.rublev.1966.1.avi.torrent
109;Андрей Рублёв 1966г. (2/2);1734.719.488;720x304;01:49:19;https://film.arjlover.net/film/andrej.rublev.1966.2.avi;https://film.arjlover.net/torrents/andrej.rublev.1966.2.avi.torrent
110;Андрей Тарковский (1/2). Жизнь и судьба;1085.387.378;704x528;01:10:41;https://film.arjlover.net/film/andrej.tarkovskij.1.zhizn.i.sudba.avi;https://film.arjlover.net/torrents/andrej.tarkovskij.1.zhizn.i.sudba.avi.torrent
111;Андрей Тарковский (2/2). Возвращение;987.321.588;704x528;01:04:20;https://film.arjlover.net/film/andrej.tarkovskij.2.vozvraschenie.avi;https://film.arjlover.net/torrents/andrej.tarkovskij.2.vozvraschenie.avi.torrent
112;Андриеш;1158.989.824;704x528;00:58:27;https://film.arjlover.net/film/andriesh.avi;https://film.arjlover.net/torrents/andriesh.avi.torrent
113;Анискин (1/5). Деревенский детектив;771.087.078;720x320;01:21:59;https://film.arjlover.net/film/derevenskij.detektiv.avi;https://film.arjlover.net/torrents/derevenskij.detektiv.avi.torrent
114;Анискин (2/5). Анискин и Фантомас;1803.862.972;720x560;02:08:55;https://film.arjlover.net/film/aniskin.i.fantomas.avi;https://film.arjlover.net/torrents/aniskin.i.fantomas.avi.torrent
115;Анискин (3/5). И снова Анискин;1044.488.192;704x528;01:05:50;https://film.arjlover.net/film/i.snova.aniskin.1.avi;https://film.arjlover.net/torrents/i.snova.aniskin.1.avi.torrent
116;Анискин (4/5). И снова Анискин;1034.164.224;704x528;01:05:10;https://film.arjlover.net/film/i.snova.aniskin.2.avi;https://film.arjlover.net/torrents/i.snova.aniskin.2.avi.torrent
117;Анискин (5/5). И снова Анискин;1046.042.624;704x528;01:05:57;https://film.arjlover.net/film/i.snova.aniskin.3.avi;https://film.arjlover.net/torrents/i.snova.aniskin.3.avi.torrent
118;Анкор, ещё анкор!;1770.080.256;688x544;01:35:41;https://film.arjlover.net/film/ankor.esche.ankor.avi;https://film.arjlover.net/torrents/ankor.esche.ankor.avi.torrent
119;Анна и командор;1565.972.480;720x544;01:19:25;https://film.arjlover.net/film/anna.i.komandor.avi;https://film.arjlover.net/torrents/anna.i.komandor.avi.torrent
120;Анна Карамазофф;1533.614.080;640x480;02:04:56;https://film.arjlover.net/film/anna.karamazoff.avi;https://film.arjlover.net/torrents/anna.karamazoff.avi.torrent
121;Анна Каренина 1967г.;2032.408.576;704x336;02:16:49;https://film.arjlover.net/film/anna.karenina.avi;https://film.arjlover.net/torrents/anna.karenina.avi.torrent
122;Анна на шее;1431.492.608;720x560;01:21:39;https://film.arjlover.net/film/anna.na.shee.avi;https://film.arjlover.net/torrents/anna.na.shee.avi.torrent
123;Анна Павлова (1/5). Улица Росси;923.076.608;704x528;00:53:28;https://film.arjlover.net/film/anna.pavlova.1.avi;https://film.arjlover.net/torrents/anna.pavlova.1.avi.torrent
124;Анна Павлова (2/5). Неумирающий лебедь;922.728.448;704x528;00:53:31;https://film.arjlover.net/film/anna.pavlova.2.avi;https://film.arjlover.net/torrents/anna.pavlova.2.avi.torrent
125;Анна Павлова (3/5). Тюльпаны и одиночество;922.818.560;704x528;00:53:36;https://film.arjlover.net/film/anna.pavlova.3.avi;https://film.arjlover.net/torrents/anna.pavlova.3.avi.torrent
126;Анна Павлова (4/5). Сны о России;922.984.448;704x528;00:54:12;https://film.arjlover.net/film/anna.pavlova.4.avi;https://film.arjlover.net/torrents/anna.pavlova.4.avi.torrent
127;Анна Павлова (5/5). Прикосновение к закату;1006.663.680;704x528;00:58:16;https://film.arjlover.net/film/anna.pavlova.5.avi;https://film.arjlover.net/torrents/anna.pavlova.5.avi.torrent
128;Анна Петровна (1/2);759.019.520;704x528;01:06:08;https://film.arjlover.net/film/anna.petrovna.1.avi;https://film.arjlover.net/torrents/anna.petrovna.1.avi.torrent
129;Анна Петровна (2/2);801.951.744;704x528;01:10:15;https://film.arjlover.net/film/anna.petrovna.2.avi;https://film.arjlover.net/torrents/anna.petrovna.2.avi.torrent
130;Анна Снегина;709.666.126;720x576;00:58:19;https://film.arjlover.net/film/anna.snegina.avi;https://film.arjlover.net/torrents/anna.snegina.avi.torrent
131;Аннушка 1959г.;1270.246.908;704x528;01:24:07;https://film.arjlover.net/film/annushka.1959.avi;https://film.arjlover.net/torrents/annushka.1959.avi.torrent
132;Аннычка;1546.510.336;688x528;01:23:34;https://film.arjlover.net/film/annychka.avi;https://film.arjlover.net/torrents/annychka.avi.torrent
133;Анонимка;1041.398.332;704x528;01:07:51;https://film.arjlover.net/film/anonimka.avi;https://film.arjlover.net/torrents/anonimka.avi.torrent
134;Антарктическая повесть (1/3);629.235.712;720x576;01:06:32;https://film.arjlover.net/film/antarkticheskaja.povest.1.avi;https://film.arjlover.net/torrents/antarkticheskaja.povest.1.avi.torrent
135;Антарктическая повесть (2/3);687.448.064;720x576;01:04:04;https://film.arjlover.net/film/antarkticheskaja.povest.2.avi;https://film.arjlover.net/torrents/antarkticheskaja.povest.2.avi.torrent
136;Антарктическая повесть (3/3);523.493.376;720x576;01:07:39;https://film.arjlover.net/film/antarkticheskaja.povest.3.avi;https://film.arjlover.net/torrents/antarkticheskaja.povest.3.avi.torrent
137;Антология короткого рассказа. Рассказы А.П.Чехова читает А.А.Попов;496.640.502;704x544;00:58:03;https://film.arjlover.net/film/antologija.korotkogo.rasskaza.a.a.popov.chitaet.chehova.avi;https://film.arjlover.net/torrents/antologija.korotkogo.rasskaza.a.a.popov.chitaet.chehova.avi.torrent
138;Антон Иванович сердится;1460.787.268;720x544;01:14:45;https://film.arjlover.net/film/anton.ivanovich.serditsja.avi;https://film.arjlover.net/torrents/anton.ivanovich.serditsja.avi.torrent
139;Антоний и Клеопатра 1980г. (1/2);1232.134.144;720x544;01:02:17;https://film.arjlover.net/film/antonij.i.kleopatra.1980.1.avi;https://film.arjlover.net/torrents/antonij.i.kleopatra.1980.1.avi.torrent
140;Антоний и Клеопатра 1980г. (2/2);1439.090.688;720x544;01:16:14;https://film.arjlover.net/film/antonij.i.kleopatra.1980.2.avi;https://film.arjlover.net/torrents/antonij.i.kleopatra.1980.2.avi.torrent
141;Антонина Брагина (1/2);754.159.616;720x544;01:03:36;https://film.arjlover.net/film/antonina.bragina.1.avi;https://film.arjlover.net/torrents/antonina.bragina.1.avi.torrent
142;Антонина Брагина (2/2);757.147.648;720x544;01:03:52;https://film.arjlover.net/film/antonina.bragina.2.avi;https://film.arjlover.net/torrents/antonina.bragina.2.avi.torrent
143;Антоша Рыбкин;929.380.298;704x544;00:48:25;https://film.arjlover.net/film/antosha.rybkin.avi;https://film.arjlover.net/torrents/antosha.rybkin.avi.torrent
144;Антошу корсет погубил;298.643.456;704x576;00:15:22;https://film.arjlover.net/film/antoshu.korset.pogubil.avi;https://film.arjlover.net/torrents/antoshu.korset.pogubil.avi.torrent
145;Антрацит;737.462.390;720x544;01:14:41;https://film.arjlover.net/film/antracit.avi;https://film.arjlover.net/torrents/antracit.avi.torrent
146;А ну-ка, дедушки!;1360.222.208;704x528;01:22:24;https://film.arjlover.net/film/a.nu.ka.dedushki.avi;https://film.arjlover.net/torrents/a.nu.ka.dedushki.avi.torrent
147;Анюта 1982г. (балет);978.588.254;704x528;01:07:39;https://film.arjlover.net/film/anjuta.1982.avi;https://film.arjlover.net/torrents/anjuta.1982.avi.torrent
148;Анютины глазки и барские ласки;777.620.526;704x528;01:09:04;https://film.arjlover.net/film/anjutiny.glazki.i.barskie.laski.avi;https://film.arjlover.net/torrents/anjutiny.glazki.i.barskie.laski.avi.torrent
149;Аплодисменты, аплодисменты...;1270.106.112;696x536;01:12:55;https://film.arjlover.net/film/aplodismenty.aplodismenty.avi;https://film.arjlover.net/torrents/aplodismenty.aplodismenty.avi.torrent
150;Аппассионата 1963г.;737.077.248;704x528;00:39:23;https://film.arjlover.net/film/appassionata.1963.avi;https://film.arjlover.net/torrents/appassionata.1963.avi.torrent
